pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
GEN_00001006_F01,plain_roll_genuine,sd300b,1,00001006,1,00001006,1,right,thumb,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_11.png,sd300b/images/1000/png/roll/00001006_roll_1000_01.png,a3cd44ff7bb3f43fab44bf88d21f700ba1b8b902d1313f29fbdf831f6d80e168,636301852d3622739b3e12059f41bc257d9da564f5ba64816b24e64194fdd2f1,11,1,valid_core_candidate,valid_core_candidate,valid,G_00001006_F01
GEN_00001006_F02,plain_roll_genuine,sd300b,1,00001006,1,00001006,2,right,index,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_02.png,sd300b/images/1000/png/roll/00001006_roll_1000_02.png,dd0b49e3c562e6ae51dfb06d14961897de3beacf9416a9eb64faa4b0f81f3ef0,2061b7b94e16dd429732e5ff1af2280d72da1cfa45f14e236b08bd2420ca0979,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001006_F02
GEN_00001006_F03,plain_roll_genuine,sd300b,1,00001006,1,00001006,3,right,middle,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_03.png,sd300b/images/1000/png/roll/00001006_roll_1000_03.png,91f31cc7562a5e5374e6f2e43b772f28e52fbc5a37ca7ed4e5322be37d258b2d,59637e1431b65e96e20377d8f551d8aa07f5b16674aed21100d60f81fd304131,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001006_F03
GEN_00001006_F04,plain_roll_genuine,sd300b,1,00001006,1,00001006,4,right,ring,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_04.png,sd300b/images/1000/png/roll/00001006_roll_1000_04.png,4260a7b7edb82bc433d9ff10d9fb41841bf4b46b3ca59ae0dc3d87dbdc0b37e2,9c754cc321b22b30bf73b3d3563447eecbf3d8c83813884bdd06fc1a3ce23037,4,4,valid_core_candidate,valid_core_candidate,valid,G_00001006_F04
GEN_00001006_F05,plain_roll_genuine,sd300b,1,00001006,1,00001006,5,right,little,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_05.png,sd300b/images/1000/png/roll/00001006_roll_1000_05.png,ce2ecae0b9dc83870cbea40be3e8965712439b31bb37c13edda3575d751f31f4,0fc0dd79dea672c86a914be7d1f29d3c474511f73569a9ac3351bf19d7a22475,5,5,valid_core_candidate,valid_core_candidate,valid,G_00001006_F05
GEN_00001006_F06,plain_roll_genuine,sd300b,1,00001006,1,00001006,6,left,thumb,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_12.png,sd300b/images/1000/png/roll/00001006_roll_1000_06.png,08e4f55ae3f9478907f001178de9371edb85f075c041d0cad863cd7a524eb06e,f9a2a8e6b7aeea9443d75bff1ca17dc58ea833675588d76911d09e2c6b82c933,12,6,valid_core_candidate,valid_core_candidate,valid,G_00001006_F06
GEN_00001006_F07,plain_roll_genuine,sd300b,1,00001006,1,00001006,7,left,index,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_07.png,sd300b/images/1000/png/roll/00001006_roll_1000_07.png,d4b83bbc2dd16e5f0cc921c5d13d2938519aeda49107b658f42152eaf4b35ca1,c64a3ae4976b7ffea16603ceae2c6037a3c322a3a5c87ea7728a6126be81f2c0,7,7,valid_core_candidate,valid_core_candidate,valid,G_00001006_F07
GEN_00001006_F08,plain_roll_genuine,sd300b,1,00001006,1,00001006,8,left,middle,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_08.png,sd300b/images/1000/png/roll/00001006_roll_1000_08.png,46f600200f55cfa6b4635792dfe2bafd2d2b94aea4d6302a6c4cee8ab796df44,5c5c16a7f8adc3961b919d95d08be3cb2c9fbd51d2d8fac2d718cda506adc4da,8,8,valid_core_candidate,valid_core_candidate,valid,G_00001006_F08
GEN_00001006_F09,plain_roll_genuine,sd300b,1,00001006,1,00001006,9,left,ring,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_09.png,sd300b/images/1000/png/roll/00001006_roll_1000_09.png,b582d48950aeb9ffbcb03f1188847c680efa2a818ca44e773ef2f5b7e16f3c8d,b58c27f472a49e75d5a6ea00adc76bfc38d4f5ca21579044a5cb6bc90939f8e8,9,9,valid_core_candidate,valid_core_candidate,valid,G_00001006_F09
GEN_00001006_F10,plain_roll_genuine,sd300b,1,00001006,1,00001006,10,left,little,PLAIN,ROLL,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_10.png,sd300b/images/1000/png/roll/00001006_roll_1000_10.png,3436f375980cf2fd58c8b48ab1a4bc47490631f6f37bdf9bebab26c1bfa30ae5,2af151930fe1262a2565979338fa8b06281355c525636869e596b0ac48bb0a9f,10,10,valid_core_candidate,valid_core_candidate,valid,G_00001006_F10
