pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
PSELF_00001006_F01,plain_self,sd300b,1,00001006,1,00001006,1,right,thumb,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_11.png,sd300b/images/1000/png/plain/00001006_plain_1000_11.png,a3cd44ff7bb3f43fab44bf88d21f700ba1b8b902d1313f29fbdf831f6d80e168,a3cd44ff7bb3f43fab44bf88d21f700ba1b8b902d1313f29fbdf831f6d80e168,11,11,valid_core_candidate,valid_core_candidate,valid,G_00001006_F01
PSELF_00001006_F02,plain_self,sd300b,1,00001006,1,00001006,2,right,index,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_02.png,sd300b/images/1000/png/plain/00001006_plain_1000_02.png,dd0b49e3c562e6ae51dfb06d14961897de3beacf9416a9eb64faa4b0f81f3ef0,dd0b49e3c562e6ae51dfb06d14961897de3beacf9416a9eb64faa4b0f81f3ef0,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001006_F02
PSELF_00001006_F03,plain_self,sd300b,1,00001006,1,00001006,3,right,middle,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_03.png,sd300b/images/1000/png/plain/00001006_plain_1000_03.png,91f31cc7562a5e5374e6f2e43b772f28e52fbc5a37ca7ed4e5322be37d258b2d,91f31cc7562a5e5374e6f2e43b772f28e52fbc5a37ca7ed4e5322be37d258b2d,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001006_F03
PSELF_00001006_F04,plain_self,sd300b,1,00001006,1,00001006,4,right,ring,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_04.png,sd300b/images/1000/png/plain/00001006_plain_1000_04.png,4260a7b7edb82bc433d9ff10d9fb41841bf4b46b3ca59ae0dc3d87dbdc0b37e2,4260a7b7edb82bc433d9ff10d9fb41841bf4b46b3ca59ae0dc3d87dbdc0b37e2,4,4,valid_core_candidate,valid_core_candidate,valid,G_00001006_F04
PSELF_00001006_F05,plain_self,sd300b,1,00001006,1,00001006,5,right,little,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_05.png,sd300b/images/1000/png/plain/00001006_plain_1000_05.png,ce2ecae0b9dc83870cbea40be3e8965712439b31bb37c13edda3575d751f31f4,ce2ecae0b9dc83870cbea40be3e8965712439b31bb37c13edda3575d751f31f4,5,5,valid_core_candidate,valid_core_candidate,valid,G_00001006_F05
PSELF_00001006_F06,plain_self,sd300b,1,00001006,1,00001006,6,left,thumb,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_12.png,sd300b/images/1000/png/plain/00001006_plain_1000_12.png,08e4f55ae3f9478907f001178de9371edb85f075c041d0cad863cd7a524eb06e,08e4f55ae3f9478907f001178de9371edb85f075c041d0cad863cd7a524eb06e,12,12,valid_core_candidate,valid_core_candidate,valid,G_00001006_F06
PSELF_00001006_F07,plain_self,sd300b,1,00001006,1,00001006,7,left,index,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_07.png,sd300b/images/1000/png/plain/00001006_plain_1000_07.png,d4b83bbc2dd16e5f0cc921c5d13d2938519aeda49107b658f42152eaf4b35ca1,d4b83bbc2dd16e5f0cc921c5d13d2938519aeda49107b658f42152eaf4b35ca1,7,7,valid_core_candidate,valid_core_candidate,valid,G_00001006_F07
PSELF_00001006_F08,plain_self,sd300b,1,00001006,1,00001006,8,left,middle,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_08.png,sd300b/images/1000/png/plain/00001006_plain_1000_08.png,46f600200f55cfa6b4635792dfe2bafd2d2b94aea4d6302a6c4cee8ab796df44,46f600200f55cfa6b4635792dfe2bafd2d2b94aea4d6302a6c4cee8ab796df44,8,8,valid_core_candidate,valid_core_candidate,valid,G_00001006_F08
PSELF_00001006_F09,plain_self,sd300b,1,00001006,1,00001006,9,left,ring,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_09.png,sd300b/images/1000/png/plain/00001006_plain_1000_09.png,b582d48950aeb9ffbcb03f1188847c680efa2a818ca44e773ef2f5b7e16f3c8d,b582d48950aeb9ffbcb03f1188847c680efa2a818ca44e773ef2f5b7e16f3c8d,9,9,valid_core_candidate,valid_core_candidate,valid,G_00001006_F09
PSELF_00001006_F10,plain_self,sd300b,1,00001006,1,00001006,10,left,little,PLAIN,PLAIN,1000,1000,sd300b/images/1000/png/plain/00001006_plain_1000_10.png,sd300b/images/1000/png/plain/00001006_plain_1000_10.png,3436f375980cf2fd58c8b48ab1a4bc47490631f6f37bdf9bebab26c1bfa30ae5,3436f375980cf2fd58c8b48ab1a4bc47490631f6f37bdf9bebab26c1bfa30ae5,10,10,valid_core_candidate,valid_core_candidate,valid,G_00001006_F10
