pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
RSELF_00001006_F01,roll_self,sd300b,1,00001006,1,00001006,1,right,thumb,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_01.png,sd300b/images/1000/png/roll/00001006_roll_1000_01.png,636301852d3622739b3e12059f41bc257d9da564f5ba64816b24e64194fdd2f1,636301852d3622739b3e12059f41bc257d9da564f5ba64816b24e64194fdd2f1,1,1,valid_core_candidate,valid_core_candidate,valid,G_00001006_F01
RSELF_00001006_F02,roll_self,sd300b,1,00001006,1,00001006,2,right,index,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_02.png,sd300b/images/1000/png/roll/00001006_roll_1000_02.png,2061b7b94e16dd429732e5ff1af2280d72da1cfa45f14e236b08bd2420ca0979,2061b7b94e16dd429732e5ff1af2280d72da1cfa45f14e236b08bd2420ca0979,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001006_F02
RSELF_00001006_F03,roll_self,sd300b,1,00001006,1,00001006,3,right,middle,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_03.png,sd300b/images/1000/png/roll/00001006_roll_1000_03.png,59637e1431b65e96e20377d8f551d8aa07f5b16674aed21100d60f81fd304131,59637e1431b65e96e20377d8f551d8aa07f5b16674aed21100d60f81fd304131,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001006_F03
RSELF_00001006_F04,roll_self,sd300b,1,00001006,1,00001006,4,right,ring,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_04.png,sd300b/images/1000/png/roll/00001006_roll_1000_04.png,9c754cc321b22b30bf73b3d3563447eecbf3d8c83813884bdd06fc1a3ce23037,9c754cc321b22b30bf73b3d3563447eecbf3d8c83813884bdd06fc1a3ce23037,4,4,valid_core_candidate,valid_core_candidate,valid,G_00001006_F04
RSELF_00001006_F05,roll_self,sd300b,1,00001006,1,00001006,5,right,little,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_05.png,sd300b/images/1000/png/roll/00001006_roll_1000_05.png,0fc0dd79dea672c86a914be7d1f29d3c474511f73569a9ac3351bf19d7a22475,0fc0dd79dea672c86a914be7d1f29d3c474511f73569a9ac3351bf19d7a22475,5,5,valid_core_candidate,valid_core_candidate,valid,G_00001006_F05
RSELF_00001006_F06,roll_self,sd300b,1,00001006,1,00001006,6,left,thumb,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_06.png,sd300b/images/1000/png/roll/00001006_roll_1000_06.png,f9a2a8e6b7aeea9443d75bff1ca17dc58ea833675588d76911d09e2c6b82c933,f9a2a8e6b7aeea9443d75bff1ca17dc58ea833675588d76911d09e2c6b82c933,6,6,valid_core_candidate,valid_core_candidate,valid,G_00001006_F06
RSELF_00001006_F07,roll_self,sd300b,1,00001006,1,00001006,7,left,index,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_07.png,sd300b/images/1000/png/roll/00001006_roll_1000_07.png,c64a3ae4976b7ffea16603ceae2c6037a3c322a3a5c87ea7728a6126be81f2c0,c64a3ae4976b7ffea16603ceae2c6037a3c322a3a5c87ea7728a6126be81f2c0,7,7,valid_core_candidate,valid_core_candidate,valid,G_00001006_F07
RSELF_00001006_F08,roll_self,sd300b,1,00001006,1,00001006,8,left,middle,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_08.png,sd300b/images/1000/png/roll/00001006_roll_1000_08.png,5c5c16a7f8adc3961b919d95d08be3cb2c9fbd51d2d8fac2d718cda506adc4da,5c5c16a7f8adc3961b919d95d08be3cb2c9fbd51d2d8fac2d718cda506adc4da,8,8,valid_core_candidate,valid_core_candidate,valid,G_00001006_F08
RSELF_00001006_F09,roll_self,sd300b,1,00001006,1,00001006,9,left,ring,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_09.png,sd300b/images/1000/png/roll/00001006_roll_1000_09.png,b58c27f472a49e75d5a6ea00adc76bfc38d4f5ca21579044a5cb6bc90939f8e8,b58c27f472a49e75d5a6ea00adc76bfc38d4f5ca21579044a5cb6bc90939f8e8,9,9,valid_core_candidate,valid_core_candidate,valid,G_00001006_F09
RSELF_00001006_F10,roll_self,sd300b,1,00001006,1,00001006,10,left,little,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001006_roll_1000_10.png,sd300b/images/1000/png/roll/00001006_roll_1000_10.png,2af151930fe1262a2565979338fa8b06281355c525636869e596b0ac48bb0a9f,2af151930fe1262a2565979338fa8b06281355c525636869e596b0ac48bb0a9f,10,10,valid_core_candidate,valid_core_candidate,valid,G_00001006_F10
RSELF_00001018_F01,roll_self,sd300b,2,00001018,2,00001018,1,right,thumb,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001018_roll_1000_01.png,sd300b/images/1000/png/roll/00001018_roll_1000_01.png,bf0ed6a7c712937a9b1d9e95d7c7f5685a51dbb6114abfc46d1a7e1e96341c65,bf0ed6a7c712937a9b1d9e95d7c7f5685a51dbb6114abfc46d1a7e1e96341c65,1,1,valid_core_candidate,valid_core_candidate,valid,G_00001018_F01
RSELF_00001018_F02,roll_self,sd300b,2,00001018,2,00001018,2,right,index,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001018_roll_1000_02.png,sd300b/images/1000/png/roll/00001018_roll_1000_02.png,f583b6e71213eaa0622f6264d1402a5d170d5538e939a3d2a8807e6c30cb7902,f583b6e71213eaa0622f6264d1402a5d170d5538e939a3d2a8807e6c30cb7902,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001018_F02
RSELF_00001018_F03,roll_self,sd300b,2,00001018,2,00001018,3,right,middle,ROLL,ROLL,1000,1000,sd300b/images/1000/png/roll/00001018_roll_1000_03.png,sd300b/images/1000/png/roll/00001018_roll_1000_03.png,f112557c56581621e31cffea9c8ff53dee8be8e53ef5379e4e23ffd3ad9d39cd,f112557c56581621e31cffea9c8ff53dee8be8e53ef5379e4e23ffd3ad9d39cd,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001018_F03
