pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
IMP_00001006_00001018_F01,plain_roll_next_subject,sd300c,1,00001006,2,00001018,1,right,thumb,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_11.png,sd300c/images/2000/png/roll/00001018_roll_2000_01.png,fb7d4ac1bb17c8c0bcd00de67105408b44de662af29c8b71003723d1ef7a60db,852d114a4b45b12c141a547ab21536f28c33386416e4875ff1066f98335b4802,11,1,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F01
IMP_00001006_00001018_F02,plain_roll_next_subject,sd300c,1,00001006,2,00001018,2,right,index,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_02.png,sd300c/images/2000/png/roll/00001018_roll_2000_02.png,4c444987842704018ca9a3dac3210fb674fa485276b0d1b445db4501374f28bc,51819d0f28a96b4045a4254ac8e1cb436d4bfde4ca5385065f0cb2d9832c93cd,2,2,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F02
IMP_00001006_00001018_F03,plain_roll_next_subject,sd300c,1,00001006,2,00001018,3,right,middle,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_03.png,sd300c/images/2000/png/roll/00001018_roll_2000_03.png,c9406800c5aa3cbccc67e0fbf6cdf48e487aa3d7dc5afc56f9e04dd83dd990f8,9c708f509b17c2fb677da24a2fc55669050791328832ffe6006ad9fb61e9da06,3,3,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F03
IMP_00001006_00001018_F04,plain_roll_next_subject,sd300c,1,00001006,2,00001018,4,right,ring,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_04.png,sd300c/images/2000/png/roll/00001018_roll_2000_04.png,cd88a2b1a6fe75a9a3c0dd718395576b67a1450646324c1b9c68c15ff7719e8c,1d564f2f3435a08ac59ca6d763c0a1f003a0ea0600b76f9bce8bc6cd498c7b10,4,4,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F04
IMP_00001006_00001018_F05,plain_roll_next_subject,sd300c,1,00001006,2,00001018,5,right,little,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_05.png,sd300c/images/2000/png/roll/00001018_roll_2000_05.png,c90a0846ac6fff91d1572803ba6581d8efaab25f8f06d1db861ee67d8c72f9ba,b5cf78e1133a2141265d87ef367c784b7547f0f9e96fe375f5cf4bc183570a96,5,5,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F05
IMP_00001006_00001018_F06,plain_roll_next_subject,sd300c,1,00001006,2,00001018,6,left,thumb,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_12.png,sd300c/images/2000/png/roll/00001018_roll_2000_06.png,90d52926b70e64b1ca0351cf3ddfba3ace02a780526d69d0bd6308ca9f3b0373,53f8a77b7a3d3140708ed79a635a8b533a0645d7f5f20b83523589c5cde9dd00,12,6,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F06
IMP_00001006_00001018_F07,plain_roll_next_subject,sd300c,1,00001006,2,00001018,7,left,index,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_07.png,sd300c/images/2000/png/roll/00001018_roll_2000_07.png,747dca472b61c5f4459d7c01c4ce87757c6de9df9d0ed12655dc78fd2b6816fb,700c4b45fbee334138a09d42ecea00e8d400d9a1866b52fa3189755233fc41fc,7,7,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F07
IMP_00001006_00001018_F08,plain_roll_next_subject,sd300c,1,00001006,2,00001018,8,left,middle,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_08.png,sd300c/images/2000/png/roll/00001018_roll_2000_08.png,e92c102537a1f1f44d0f02016de37216e7dea30979b0031223a40505d75c8904,d6a3ccf274965fd7c0fafa1f2d340bdc0347c20e852b7836fa6ad7de10455077,8,8,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F08
IMP_00001006_00001018_F09,plain_roll_next_subject,sd300c,1,00001006,2,00001018,9,left,ring,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_09.png,sd300c/images/2000/png/roll/00001018_roll_2000_09.png,cce5259a826af52916d67d1585716045783bd8ff1e7e3b83c375a590ddd88236,6201dc84e7f6146b0178ac57069ce78205f530b30ae5757f32eaa5b9c3cd24a3,9,9,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F09
IMP_00001006_00001018_F10,plain_roll_next_subject,sd300c,1,00001006,2,00001018,10,left,little,PLAIN,ROLL,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_10.png,sd300c/images/2000/png/roll/00001018_roll_2000_10.png,4b0182a0e6b35946bc37fc7596be587b556f2a45fb32a61cb0dcc12c61b22ddf,c37dbbb682ae3557c5c81b4950cc0ce39ec2700c3ea9c57e543ac895d0e87f01,10,10,valid_core_candidate,valid_core_candidate,valid,I_00001006_00001018_F10
