pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
PSELF_00001006_F01,plain_self,sd300c,1,00001006,1,00001006,1,right,thumb,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_11.png,sd300c/images/2000/png/plain/00001006_plain_2000_11.png,fb7d4ac1bb17c8c0bcd00de67105408b44de662af29c8b71003723d1ef7a60db,fb7d4ac1bb17c8c0bcd00de67105408b44de662af29c8b71003723d1ef7a60db,11,11,valid_core_candidate,valid_core_candidate,valid,G_00001006_F01
PSELF_00001006_F02,plain_self,sd300c,1,00001006,1,00001006,2,right,index,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_02.png,sd300c/images/2000/png/plain/00001006_plain_2000_02.png,4c444987842704018ca9a3dac3210fb674fa485276b0d1b445db4501374f28bc,4c444987842704018ca9a3dac3210fb674fa485276b0d1b445db4501374f28bc,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001006_F02
PSELF_00001006_F03,plain_self,sd300c,1,00001006,1,00001006,3,right,middle,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_03.png,sd300c/images/2000/png/plain/00001006_plain_2000_03.png,c9406800c5aa3cbccc67e0fbf6cdf48e487aa3d7dc5afc56f9e04dd83dd990f8,c9406800c5aa3cbccc67e0fbf6cdf48e487aa3d7dc5afc56f9e04dd83dd990f8,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001006_F03
PSELF_00001006_F04,plain_self,sd300c,1,00001006,1,00001006,4,right,ring,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_04.png,sd300c/images/2000/png/plain/00001006_plain_2000_04.png,cd88a2b1a6fe75a9a3c0dd718395576b67a1450646324c1b9c68c15ff7719e8c,cd88a2b1a6fe75a9a3c0dd718395576b67a1450646324c1b9c68c15ff7719e8c,4,4,valid_core_candidate,valid_core_candidate,valid,G_00001006_F04
PSELF_00001006_F05,plain_self,sd300c,1,00001006,1,00001006,5,right,little,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_05.png,sd300c/images/2000/png/plain/00001006_plain_2000_05.png,c90a0846ac6fff91d1572803ba6581d8efaab25f8f06d1db861ee67d8c72f9ba,c90a0846ac6fff91d1572803ba6581d8efaab25f8f06d1db861ee67d8c72f9ba,5,5,valid_core_candidate,valid_core_candidate,valid,G_00001006_F05
PSELF_00001006_F06,plain_self,sd300c,1,00001006,1,00001006,6,left,thumb,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_12.png,sd300c/images/2000/png/plain/00001006_plain_2000_12.png,90d52926b70e64b1ca0351cf3ddfba3ace02a780526d69d0bd6308ca9f3b0373,90d52926b70e64b1ca0351cf3ddfba3ace02a780526d69d0bd6308ca9f3b0373,12,12,valid_core_candidate,valid_core_candidate,valid,G_00001006_F06
PSELF_00001006_F07,plain_self,sd300c,1,00001006,1,00001006,7,left,index,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_07.png,sd300c/images/2000/png/plain/00001006_plain_2000_07.png,747dca472b61c5f4459d7c01c4ce87757c6de9df9d0ed12655dc78fd2b6816fb,747dca472b61c5f4459d7c01c4ce87757c6de9df9d0ed12655dc78fd2b6816fb,7,7,valid_core_candidate,valid_core_candidate,valid,G_00001006_F07
PSELF_00001006_F08,plain_self,sd300c,1,00001006,1,00001006,8,left,middle,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_08.png,sd300c/images/2000/png/plain/00001006_plain_2000_08.png,e92c102537a1f1f44d0f02016de37216e7dea30979b0031223a40505d75c8904,e92c102537a1f1f44d0f02016de37216e7dea30979b0031223a40505d75c8904,8,8,valid_core_candidate,valid_core_candidate,valid,G_00001006_F08
PSELF_00001006_F09,plain_self,sd300c,1,00001006,1,00001006,9,left,ring,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_09.png,sd300c/images/2000/png/plain/00001006_plain_2000_09.png,cce5259a826af52916d67d1585716045783bd8ff1e7e3b83c375a590ddd88236,cce5259a826af52916d67d1585716045783bd8ff1e7e3b83c375a590ddd88236,9,9,valid_core_candidate,valid_core_candidate,valid,G_00001006_F09
PSELF_00001006_F10,plain_self,sd300c,1,00001006,1,00001006,10,left,little,PLAIN,PLAIN,2000,2000,sd300c/images/2000/png/plain/00001006_plain_2000_10.png,sd300c/images/2000/png/plain/00001006_plain_2000_10.png,4b0182a0e6b35946bc37fc7596be587b556f2a45fb32a61cb0dcc12c61b22ddf,4b0182a0e6b35946bc37fc7596be587b556f2a45fb32a61cb0dcc12c61b22ddf,10,10,valid_core_candidate,valid_core_candidate,valid,G_00001006_F10
