pair_id,comparison_kind,dataset_release,subject_index_a,subject_id_a,subject_index_b,subject_id_b,canonical_finger,hand,finger_name,capture_type_a,capture_type_b,nominal_ppi_a,nominal_ppi_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_frgp_a,source_frgp_b,image_status_a,image_status_b,pair_status,source_pair_id
RSELF_00001006_F01,roll_self,sd300c,1,00001006,1,00001006,1,right,thumb,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_01.png,sd300c/images/2000/png/roll/00001006_roll_2000_01.png,7bd14c637ca549e4f0a50002485c9bb939257f9c8adb979f8ef871d56d085430,7bd14c637ca549e4f0a50002485c9bb939257f9c8adb979f8ef871d56d085430,1,1,valid_core_candidate,valid_core_candidate,valid,G_00001006_F01
RSELF_00001006_F02,roll_self,sd300c,1,00001006,1,00001006,2,right,index,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_02.png,sd300c/images/2000/png/roll/00001006_roll_2000_02.png,0a56d5d1bfe5422b602469c090e20991b65273d09aa693afe3a4d08ec6293f7e,0a56d5d1bfe5422b602469c090e20991b65273d09aa693afe3a4d08ec6293f7e,2,2,valid_core_candidate,valid_core_candidate,valid,G_00001006_F02
RSELF_00001006_F03,roll_self,sd300c,1,00001006,1,00001006,3,right,middle,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_03.png,sd300c/images/2000/png/roll/00001006_roll_2000_03.png,f9d16f596c5d20d2d3b22519f2a88e9277b924ea1e5029d65b196826ae79739a,f9d16f596c5d20d2d3b22519f2a88e9277b924ea1e5029d65b196826ae79739a,3,3,valid_core_candidate,valid_core_candidate,valid,G_00001006_F03
RSELF_00001006_F04,roll_self,sd300c,1,00001006,1,00001006,4,right,ring,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_04.png,sd300c/images/2000/png/roll/00001006_roll_2000_04.png,3fba8e7afee3ef870d14a97db60a715e5d3009cac8b4499e0378e0825db29df9,3fba8e7afee3ef870d14a97db60a715e5d3009cac8b4499e0378e0825db29df9,4,4,valid_core_candidate,valid_core_candidate,valid,G_00001006_F04
RSELF_00001006_F05,roll_self,sd300c,1,00001006,1,00001006,5,right,little,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_05.png,sd300c/images/2000/png/roll/00001006_roll_2000_05.png,c8c35a7d2e770d1df9c30208222da062915f1f627f571fe96d34fef7fdb23f3f,c8c35a7d2e770d1df9c30208222da062915f1f627f571fe96d34fef7fdb23f3f,5,5,valid_core_candidate,valid_core_candidate,valid,G_00001006_F05
RSELF_00001006_F06,roll_self,sd300c,1,00001006,1,00001006,6,left,thumb,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_06.png,sd300c/images/2000/png/roll/00001006_roll_2000_06.png,3472d7479891b586d61583a4945e98d1955091ed47279e9f1d4f63580ffd6be9,3472d7479891b586d61583a4945e98d1955091ed47279e9f1d4f63580ffd6be9,6,6,valid_core_candidate,valid_core_candidate,valid,G_00001006_F06
RSELF_00001006_F07,roll_self,sd300c,1,00001006,1,00001006,7,left,index,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_07.png,sd300c/images/2000/png/roll/00001006_roll_2000_07.png,03187747db08397fb6ac15dcd7aadf76a8206877a9f04428c48176dcd4a1e5e9,03187747db08397fb6ac15dcd7aadf76a8206877a9f04428c48176dcd4a1e5e9,7,7,valid_core_candidate,valid_core_candidate,valid,G_00001006_F07
RSELF_00001006_F08,roll_self,sd300c,1,00001006,1,00001006,8,left,middle,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_08.png,sd300c/images/2000/png/roll/00001006_roll_2000_08.png,19ccaa6ba9f0cf7c7b73de1c0df35c4e271688a53c267093a8f4306bdc45e7d3,19ccaa6ba9f0cf7c7b73de1c0df35c4e271688a53c267093a8f4306bdc45e7d3,8,8,valid_core_candidate,valid_core_candidate,valid,G_00001006_F08
RSELF_00001006_F09,roll_self,sd300c,1,00001006,1,00001006,9,left,ring,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_09.png,sd300c/images/2000/png/roll/00001006_roll_2000_09.png,a75a5a3a47c918d45cb739b2d9d1734f9d86e3b5b99ebc8cca2685af83ed11a7,a75a5a3a47c918d45cb739b2d9d1734f9d86e3b5b99ebc8cca2685af83ed11a7,9,9,valid_core_candidate,valid_core_candidate,valid,G_00001006_F09
RSELF_00001006_F10,roll_self,sd300c,1,00001006,1,00001006,10,left,little,ROLL,ROLL,2000,2000,sd300c/images/2000/png/roll/00001006_roll_2000_10.png,sd300c/images/2000/png/roll/00001006_roll_2000_10.png,9c3938efc5124ea17224d83cce70cff24e032fa38c8e936c17b0149b9954921d,9c3938efc5124ea17224d83cce70cff24e032fa38c8e936c17b0149b9954921d,10,10,valid_core_candidate,valid_core_candidate,valid,G_00001006_F10
